image,url
crop_00000002,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000002.jpg?raw=true
crop_00000009,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000009.jpg?raw=true
crop_00000010,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000010.jpg?raw=true
crop_00000011,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000011.jpg?raw=true
crop_00000012,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000012.jpg?raw=true
crop_00000015,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000015.jpg?raw=true
crop_00000017,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000017.jpg?raw=true
crop_00000019,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000019.jpg?raw=true
crop_00000020,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000020.jpg?raw=true
crop_00000022,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000022.jpg?raw=true
crop_00000032,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000032.jpg?raw=true
crop_00000035,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000035.jpg?raw=true
crop_00000037,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000037.jpg?raw=true
crop_00000038,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000038.jpg?raw=true
crop_00000040,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000040.jpg?raw=true
crop_00000042,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000042.jpg?raw=true
crop_00000045,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000045.jpg?raw=true
crop_00000046,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000046.jpg?raw=true
crop_00000049,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000049.jpg?raw=true
crop_00000059,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000059.jpg?raw=true
crop_00000060,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000060.jpg?raw=true
crop_00000065,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000065.jpg?raw=true
crop_00000066,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000066.jpg?raw=true
crop_00000068,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000068.jpg?raw=true
crop_00000070,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000070.jpg?raw=true
crop_00000072,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000072.jpg?raw=true
crop_00000073,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000073.jpg?raw=true
crop_00000074,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000074.jpg?raw=true
crop_00000075,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000075.jpg?raw=true
crop_00000077,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000077.jpg?raw=true
crop_00000079,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000079.jpg?raw=true
crop_00000082,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000082.jpg?raw=true
crop_00000083,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000083.jpg?raw=true
crop_00000084,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000084.jpg?raw=true
crop_00000089,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000089.jpg?raw=true
crop_00000090,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000090.jpg?raw=true
crop_00000092,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000092.jpg?raw=true
crop_00000093,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000093.jpg?raw=true
crop_00000098,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000098.jpg?raw=true
crop_00000100,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000100.jpg?raw=true
crop_00000103,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000103.jpg?raw=true
crop_00000106,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000106.jpg?raw=true
crop_00000107,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000107.jpg?raw=true
crop_00000112,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000112.jpg?raw=true
crop_00000114,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000114.jpg?raw=true
crop_00000116,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000116.jpg?raw=true
crop_00000117,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000117.jpg?raw=true
crop_00000118,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000118.jpg?raw=true
crop_00000120,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000120.jpg?raw=true
crop_00000121,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000121.jpg?raw=true
crop_00000122,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000122.jpg?raw=true
crop_00000127,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000127.jpg?raw=true
crop_00000128,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000128.jpg?raw=true
crop_00000129,https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000129.jpg?raw=true
