image,url
crop_00000235,https://drive.google.com/file/d/1OmzNYO40Kw1FKf5idf1cE-Jp6-cO840W/view?usp=drive_link
crop_00000234,https://drive.google.com/file/d/1g12aH1939UmCJax55tNjgkg-oeRLs9Bw/view?usp=drive_link
crop_00000233,https://drive.google.com/file/d/1peRMnb-OomlAprCYNHpLGk6fpaPSa-AE/view?usp=drive_link
crop_00000230,https://drive.google.com/file/d/1SDka11i1bZL4mqUr9ogtceKGczy9ifTF/view?usp=drive_link
crop_00000229,https://drive.google.com/file/d/1QRQSdtt5UdWgQAIqDrrTB6TrSJ7a5EuW/view?usp=drive_link
crop_00000227,https://drive.google.com/file/d/1LqwCc4Wd5ig1_L5WbgFq7qAehiCYu4Xl/view?usp=drive_link
crop_00000226,https://drive.google.com/file/d/1u9VPnjuN2mMgH7TjsXMUoxWvooZTS1U1/view?usp=drive_link
crop_00000225,https://drive.google.com/file/d/16l4AdhO59m6pM6KjVEHwo60GqU_9-6lr/view?usp=drive_link
crop_00000224,https://drive.google.com/file/d/1IbS7U6T8Ym8yppB5LkG3H8zcXgxEYCHa/view?usp=drive_link
crop_00000221,https://drive.google.com/file/d/1bjuFnrfPsg94Gv2rYw2yB2WmJY9nYJ0o/view?usp=drive_link
crop_00000220,https://drive.google.com/file/d/1Po2t_fJvFuwul9ZHtCLi9v40W4lm8qO4/view?usp=drive_link
crop_00000218,https://drive.google.com/file/d/1IB1ghpA_2ZdpShJLjs7a01_jHqr0ufT4/view?usp=drive_link
crop_00000216,https://drive.google.com/file/d/1nkZNhq58zUkxwGCAPoOqvpkMAb-14ukW/view?usp=drive_link
crop_00000215,https://drive.google.com/file/d/1I-0pHgHDIRff3pfUMf5VD1HwPbMz1TkB/view?usp=drive_link
crop_00000213,https://drive.google.com/file/d/1dzUgAND8YIM-OzbFPl0r3_gxgu6rz4LZ/view?usp=drive_link
crop_00000212,https://drive.google.com/file/d/1ZXD9HZh9LYvEd0o9SfgWNDx9e94FidZF/view?usp=drive_link
crop_00000211,https://drive.google.com/file/d/174BU9UtNC3-yg2Aw6B70UwwrN6woqSkl/view?usp=drive_link
crop_00000210,https://drive.google.com/file/d/1_-z2WoQj81BRmle1q3Tlskt7aUGBUQ5i/view?usp=drive_link
