image,url
image_3,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_3.jpeg?raw=true
image_7,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_7.jpeg?raw=true
image_11,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_11.jpeg?raw=true
image_13,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_13.jpeg?raw=true
image_20,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_20.jpeg?raw=true
image_25,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_25.jpeg?raw=true
image_27,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_27.jpeg?raw=true
image_32,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_32.jpeg?raw=true
image_34,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_34.jpeg?raw=true
image_49,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_49.jpeg?raw=true
image_53,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_53.jpeg?raw=true
image_57,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_57.jpeg?raw=true
image_61,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_61.jpeg?raw=true
image_65,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_65.jpeg?raw=true
image_78,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_78.jpeg?raw=true
image_92,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_92.jpeg?raw=true
image_106,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_106.jpeg?raw=true
image_108,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_108.jpeg?raw=true
image_111,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_111.jpeg?raw=true
image_117,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_117.jpeg?raw=true
image_124,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_124.jpeg?raw=true
image_125,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_125.jpeg?raw=true
image_127,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_127.jpeg?raw=true
image_138,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_138.jpeg?raw=true
image_142,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_142.jpeg?raw=true
image_143,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_143.jpeg?raw=true
image_145,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_145.jpeg?raw=true
image_146,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_146.jpeg?raw=true
image_156,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_156.jpeg?raw=true
image_164,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_164.jpeg?raw=true
image_167,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_167.jpeg?raw=true
image_170,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_170.jpeg?raw=true
image_172,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_172.jpeg?raw=true
image_185,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_185.jpeg?raw=true
image_203,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_203.jpeg?raw=true
image_211,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_211.jpeg?raw=true
image_213,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_213.jpeg?raw=true
image_221,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_221.jpeg?raw=true
image_225,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_225.jpeg?raw=true
image_237,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_237.jpeg?raw=true
image_240,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_240.jpeg?raw=true
image_243,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_243.jpeg?raw=true
image_244,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_244.jpeg?raw=true
image_246,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_246.jpeg?raw=true
image_253,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_253.jpeg?raw=true
image_258,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_258.jpeg?raw=true
image_272,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_272.jpeg?raw=true
image_276,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_276.jpeg?raw=true
image_308,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_308.jpeg?raw=true
image_319,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_319.jpeg?raw=true
image_321,https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_321.jpeg?raw=true
