url,caption1,caption2,caption3
https://ifh.cc/g/zr8zb4.jpg,왕자가 바지를 벗기 시작했다,화장실 줄을 서고 있는데 슬슬 뒷사람의 상태가 위험하다.,화관을 쓴 여성이 눈을 감고 있던 상태에서 갑자기 눈을 크게 뜨는 두 장의 사진입니다.
https://ifh.cc/g/CJ3D9y.jpg,아들이 똥폰의 뜻을 잘못이해한듯 하다,아들을 반년만에 목욕시켰더니 깨끗해졌다,화장실 변기에 올라간 귀여운 어린아이가 호기심 가득한 눈으로 바라보며 손으로 변기 속의 물건을 만지고 있습니다.
https://ifh.cc/g/3ZLoHm.jpg,화장실 줄을 서고 있는데 슬슬 뒷사람의 상태가 위험하다.,"""어머님, 조금만 더 힘내세요! 이제 금방이에요! 아기머리가 보이기 시작했어요!!""","강렬한 무대 조명 아래에서 한 사람이 유명한 경사진 발끝 서기 포즈를 취하고 있는 가운데, 다른 사람의 실루엣이 바라보고 있습니다."
https://ifh.cc/g/yj391z.jpg,배웅이 엄청나게 끈질기다,아들이 똥폰의 뜻을 잘못이해한듯 하다,열린 차량 문에서 밖으로 활짝 웃으며 팔을 벌린 소년이 보입니다.
https://ifh.cc/g/aDQnOS.jpg,"다음으로, 지퍼를 내리면 코끼리가 완성!",어디가 안 좋아요?' '발이 아파요',파란 셔츠와 넥타이를 맨 사람이 놀란 표정으로 양팔을 벌리고 있는 만화 스타일의 그림입니다.
https://ifh.cc/g/Fg1WLR.jpg,아빠가 형광등 가는데 쓸데없이 화려하다,자기야..나 죽어가 제발 비트박스좀 그만해,검은 망토를 입고 빨간색 광선검을 든 인물이 어두운 하늘 배경 앞에 서 있다.
https://ifh.cc/g/D8rRJS.jpg,어디가 안 좋아요?' '발이 아파요',아빠가 형광등 가는데 쓸데없이 화려하다,의사가 청진기를 사용하여 상의를 벗은 환자의 심장을 듣고 있는 모습입니다.
https://ifh.cc/g/Zn9Pag.jpg,아들을 반년만에 목욕시켰더니 깨끗해졌다,치킨왔다!!!!!!,남자가 자연 속에서 아기를 안고 밝게 웃고 있습니다.
https://ifh.cc/g/dtHZ28.jpg,너도 그 이발소니?,모기를 잡았을 뿐인데 애들이 따라한다,그림 속에서 두 명의 애니메이션 캐릭터가 그네에 앉아 서로를 바라보며 대화하는 듯한 장면이 펼쳐지고 있습니다.
https://ifh.cc/g/GFTy2x.jpg,치킨왔다!!!!!!,왕자가 바지를 벗기 시작했다,자연 배경 앞에서 포즈를 취하고 있는 보라색과 녹색의 로봇 애니메이션 캐릭터가 그려진 이미지입니다.
https://ifh.cc/g/4b8WrN.jpg,모기를 잡았을 뿐인데 애들이 따라한다,배웅이 엄청나게 끈질기다,"군복 차림의 여러 남성이 박수를 치고 있는 모습이며, 그들 중 한 명은 민간 복장을 입고 있습니다."
https://ifh.cc/g/wptvah.jpg,"""어머님, 조금만 더 힘내세요! 이제 금방이에요! 아기머리가 보이기 시작했어요!!""",가루약을 잘 못먹는 타입,긴 금발 머리카락에 진지한 표정을 짓고 있는 애니메이션 캐릭터의 클로즈업 이미지입니다.
https://ifh.cc/g/jL27la.jpg,"""맘스터치""",너도 그 이발소니?,이 사진은 사람의 등에 붉게 일광 화상을 입은 부분을 제외하고 선크림을 바른 손자국이 선명하게 나타나 있는 모습을 보여줍니다.
https://ifh.cc/g/qKdJWf.jpg,가루약을 잘 못먹는 타입,"다음으로, 지퍼를 내리면 코끼리가 완성!",고질라 모형이 입에서 연기를 내뿜으며 포효하는 듯 보이는 야외 장면이다.
