url,real_caption,random_caption,description,caption1,caption2,caption3,response_text
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_3.jpeg?raw=true,Would it kill you to use a few of your roaming minutes?,It was in international waters.,"The image is a humorous cartoon showing a disheveled cat on the desk of an ""Emergency Hotline"" call center, with operators appearing surprised or disinterested.","The image is a humorous cartoon showing a disheveled cat on the desk of an ""Emergency Hotline"" call center, with operators appearing surprised or disinterested.",Would it kill you to use a few of your roaming minutes?,It was in international waters.,{selected caption number:'2: Would it kill you to use a few of your roaming minutes?'}
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_7.jpeg?raw=true,It's just the wind.,We really need to revisit our immigration policy.,"A person is sitting up in bed looking at a pillow with an imprint of a head on it, while a surreal large image of the moon or Earth appears outside the window.",It's just the wind.,"A person is sitting up in bed looking at a pillow with an imprint of a head on it, while a surreal large image of the moon or Earth appears outside the window.",We really need to revisit our immigration policy.,"{""selected caption number"":""3""}

The caption ""We really need to revisit our immigration policy."" humorously suggests the absurd notion that the Earth itself has immigrated to the bedroom through the window. It plays on immigration as a topical issue while anthropomorphizing the Earth in a surreal and unexpected way that relates to the bizarre image. The other captions merely describe elements of the image without adding much humorous interpretation."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_11.jpeg?raw=true,"Frankly, your brochure is a bit misleading.","Now, at the actual wedding tomorrow, let's keep Heather off the vodka.","The picture is a black-and-white cartoon showing a group of people in what appears to be a medieval setting, with two individuals holding unusually large pencils while one person sharpens the tip of their pencil on a wall, indicating a humorous take on sword sharpening.","The picture is a black-and-white cartoon showing a group of people in what appears to be a medieval setting, with two individuals holding unusually large pencils while one person sharpens the tip of their pencil on a wall, indicating a humorous take on sword sharpening.","Now, at the actual wedding tomorrow, let's keep Heather off the vodka.","Frankly, your brochure is a bit misleading.","{""selected caption number"":""2: Now, at the actual wedding tomorrow, let's keep Heather off the vodka.""}

The caption humorously ties the medieval setting and figures holding large pencils to a modern wedding rehearsal gone awry due to excessive drinking. It's an unexpected and amusing juxtaposition between the drawing and relatable real-world situation."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_13.jpeg?raw=true,I think we need a new sex therapist.,Can't I just laugh till it hurts?,"The image is a sketch of a woman and a man with a tennis racket head sitting on a bed, engaged in a conversation, with a sense of whimsy due to the man's unusual head.",Can't I just laugh till it hurts?,"The image is a sketch of a woman and a man with a tennis racket head sitting on a bed, engaged in a conversation, with a sense of whimsy due to the man's unusual head.",I think we need a new sex therapist.,{selected caption number:'3: I think we need a new sex therapist.'}
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_20.jpeg?raw=true,Larry can't tell you about his current project—it's top secret.,It's not just Henderson. Corporate laid off the entire bunny division.,"The image is a black-and-white cartoon showing a social gathering where a relatively small man is standing in the foreground looking up to much taller men and women, possibly poking fun at his height difference compared to the others.",Larry can't tell you about his current project—it's top secret.,It's not just Henderson. Corporate laid off the entire bunny division.,"The image is a black-and-white cartoon showing a social gathering where a relatively small man is standing in the foreground looking up to much taller men and women, possibly poking fun at his height difference compared to the others.","{selected caption number:'1: Larry can't tell you about his current project—it's top secret.'}

The first caption humorously suggests that Larry, the shorter man, is involved in some secretive project, playfully poking fun at his height compared to the others. This caption adds an amusing backstory to the image beyond just describing the difference in stature."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_25.jpeg?raw=true,"We don't have much of a sex life, but he's good at finding keys in the swimming pool.",I guess this rules out a church wedding.,"A person in an astronaut suit stands awkwardly in an elevator alongside three business-dressed individuals, creating a humorous contrast between everyday life and space exploration.","We don't have much of a sex life, but he's good at finding keys in the swimming pool.",I guess this rules out a church wedding.,"A person in an astronaut suit stands awkwardly in an elevator alongside three business-dressed individuals, creating a humorous contrast between everyday life and space exploration.","{selected caption number:'1: We don't have much of a sex life, but he's good at finding keys in the swimming pool.'}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_27.jpeg?raw=true,"Shut up, Bob, everyone knows your parrot's a clip-on.",You know what? Just bring me back the one with the fly in it.,"The image is a simple black-and-white sketch of four individuals in a business meeting, with one standing holding papers and three others seated and engaged in conversation.","The image is a simple black-and-white sketch of four individuals in a business meeting, with one standing holding papers and three others seated and engaged in conversation.","Shut up, Bob, everyone knows your parrot's a clip-on.",You know what? Just bring me back the one with the fly in it.,"{""selected caption number"":""2: Shut up, Bob, everyone knows your parrot's a clip-on.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_32.jpeg?raw=true,It's not just Henderson. Corporate laid off the entire bunny division.,That won't fly in here.,"A person dressed in a kangaroo costume is walking through a metal detector at an airport security checkpoint, while a security officer is peeking out from a side door, and two businessmen are standing in line, creating a humorous scene.","A person dressed in a kangaroo costume is walking through a metal detector at an airport security checkpoint, while a security officer is peeking out from a side door, and two businessmen are standing in line, creating a humorous scene.",That won't fly in here.,It's not just Henderson. Corporate laid off the entire bunny division.,"{""selected caption number"":""2: That won't fly in here.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_34.jpeg?raw=true,I guess this rules out a church wedding.,Relax. The DVR is set. You can catch the game tomorrow.,"The image is a black-and-white cartoon showing a woman sitting up in bed, looking somewhat unimpressed or surprised, while a man stands in the doorway with his coat open, exposing his underwear, in an exaggerated display.","The image is a black-and-white cartoon showing a woman sitting up in bed, looking somewhat unimpressed or surprised, while a man stands in the doorway with his coat open, exposing his underwear, in an exaggerated display.",Relax. The DVR is set. You can catch the game tomorrow.,I guess this rules out a church wedding.,"{3:'I guess this rules out a church wedding.'}

The third caption humorously suggests that based on the man's inappropriate display, a traditional church wedding is no longer a suitable option for the couple. It plays on the contrast between the man's lewd behavior and the propriety expected in a church setting."
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_49.jpeg?raw=true,Stop me if you've heard this one.,It's just the wind.,"A cartoon depicts a man at a bar with a phone to his ear, seemingly indifferent to the clone-like businessmen reflected multiple times in the mirror behind him.","A cartoon depicts a man at a bar with a phone to his ear, seemingly indifferent to the clone-like businessmen reflected multiple times in the mirror behind him.",Stop me if you've heard this one.,It's just the wind.,"{selected caption number:'2: Stop me if you've heard this one.'}

The cartoon humorously depicts a man at a bar on the phone, seemingly oblivious to the row of identical businessmen reflected behind him in the mirror. Caption 2 plays off this surreal imagery, as if the man is starting to tell a joke, despite the absurdity of the situation with the clone-like figures. It's a witty, self-referential line that highlights the strangeness of the scene in an amusing way, making it the most humorous and relevant caption choice for this cartoon."
