url,real_description,random_description,humor_caption,caption1,caption2,caption3,response_text
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_3.jpeg?raw=true,"The image is a humorous cartoon showing a disheveled cat on the desk of an ""Emergency Hotline"" call center, with operators appearing surprised or disinterested.","A cartoon depicts a man at a bar with a phone to his ear, seemingly indifferent to the clone-like businessmen reflected multiple times in the mirror behind him.",Would it kill you to use a few of your roaming minutes?,"A cartoon depicts a man at a bar with a phone to his ear, seemingly indifferent to the clone-like businessmen reflected multiple times in the mirror behind him.","The image is a humorous cartoon showing a disheveled cat on the desk of an ""Emergency Hotline"" call center, with operators appearing surprised or disinterested.",Would it kill you to use a few of your roaming minutes?,"{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_7.jpeg?raw=true,"A person is sitting up in bed looking at a pillow with an imprint of a head on it, while a surreal large image of the moon or Earth appears outside the window.","The image is a monochrome cartoon depicting two birds watching a human trying to take a picture of a bird perched on his hand, seemingly oblivious to the fact that they are right beside him.",It's just the wind.,"A person is sitting up in bed looking at a pillow with an imprint of a head on it, while a surreal large image of the moon or Earth appears outside the window.","The image is a monochrome cartoon depicting two birds watching a human trying to take a picture of a bird perched on his hand, seemingly oblivious to the fact that they are right beside him.",It's just the wind.,"{""selected caption number"":""1""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_11.jpeg?raw=true,"The picture is a black-and-white cartoon showing a group of people in what appears to be a medieval setting, with two individuals holding unusually large pencils while one person sharpens the tip of their pencil on a wall, indicating a humorous take on sword sharpening.","The image shows a cartoon of two prehistoric people inside a cave, near some stone wheels, eating what appears to be a large drumstick.","Frankly, your brochure is a bit misleading.","The image shows a cartoon of two prehistoric people inside a cave, near some stone wheels, eating what appears to be a large drumstick.","Frankly, your brochure is a bit misleading.","The picture is a black-and-white cartoon showing a group of people in what appears to be a medieval setting, with two individuals holding unusually large pencils while one person sharpens the tip of their pencil on a wall, indicating a humorous take on sword sharpening.","{""selected caption number"":""3""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_13.jpeg?raw=true,"The image is a sketch of a woman and a man with a tennis racket head sitting on a bed, engaged in a conversation, with a sense of whimsy due to the man's unusual head.","A cartoon depicts an anchor embedded in a coffee shop counter with surprised patrons, providing a humorous juxtaposition between nautical and everyday life.",I think we need a new sex therapist.,"The image is a sketch of a woman and a man with a tennis racket head sitting on a bed, engaged in a conversation, with a sense of whimsy due to the man's unusual head.",I think we need a new sex therapist.,"A cartoon depicts an anchor embedded in a coffee shop counter with surprised patrons, providing a humorous juxtaposition between nautical and everyday life.","{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_20.jpeg?raw=true,"The image is a black-and-white cartoon showing a social gathering where a relatively small man is standing in the foreground looking up to much taller men and women, possibly poking fun at his height difference compared to the others.","The black and white cartoon depicts a bespectacled man handing papers to a disgruntled-looking creature seated at a cluttered desk, situated in an office setting with two windows.",Larry can't tell you about his current project—it's top secret.,"The black and white cartoon depicts a bespectacled man handing papers to a disgruntled-looking creature seated at a cluttered desk, situated in an office setting with two windows.",Larry can't tell you about his current project—it's top secret.,"The image is a black-and-white cartoon showing a social gathering where a relatively small man is standing in the foreground looking up to much taller men and women, possibly poking fun at his height difference compared to the others.","{""selected caption number"":""3: The image is a black-and-white cartoon showing a social gathering where a relatively small man is standing in the foreground looking up to much taller men and women, possibly poking fun at his height difference compared to the others.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_25.jpeg?raw=true,"A person in an astronaut suit stands awkwardly in an elevator alongside three business-dressed individuals, creating a humorous contrast between everyday life and space exploration.","The image shows an illustration of a small airplane with its engine running, two pilots in the cockpit, and a woman in a dress standing on the tarmac holding a broom.","We don't have much of a sex life, but he's good at finding keys in the swimming pool.","We don't have much of a sex life, but he's good at finding keys in the swimming pool.","A person in an astronaut suit stands awkwardly in an elevator alongside three business-dressed individuals, creating a humorous contrast between everyday life and space exploration.","The image shows an illustration of a small airplane with its engine running, two pilots in the cockpit, and a woman in a dress standing on the tarmac holding a broom.","{""selected caption number"":""2: A person in an astronaut suit stands awkwardly in an elevator alongside three business-dressed individuals, creating a humorous contrast between everyday life and space exploration.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_27.jpeg?raw=true,"The image is a simple black-and-white sketch of four individuals in a business meeting, with one standing holding papers and three others seated and engaged in conversation.","The image is a black and white sketch depicting a whimsical scene where human-figured birds with wings are engaging in human activities such as reading, watering plants, and playing musical instruments, while a human groundskeeper seems to be unaware, all set in a garden-like environment.","Shut up, Bob, everyone knows your parrot's a clip-on.","Shut up, Bob, everyone knows your parrot's a clip-on.","The image is a simple black-and-white sketch of four individuals in a business meeting, with one standing holding papers and three others seated and engaged in conversation.","The image is a black and white sketch depicting a whimsical scene where human-figured birds with wings are engaging in human activities such as reading, watering plants, and playing musical instruments, while a human groundskeeper seems to be unaware, all set in a garden-like environment.","{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_32.jpeg?raw=true,"A person dressed in a kangaroo costume is walking through a metal detector at an airport security checkpoint, while a security officer is peeking out from a side door, and two businessmen are standing in line, creating a humorous scene.","The image is a cartoon of two people sitting comfortably in a living room, with framed pictures on the walls and a bizarrely parked car in the center of the room.",It's not just Henderson. Corporate laid off the entire bunny division.,It's not just Henderson. Corporate laid off the entire bunny division.,"The image is a cartoon of two people sitting comfortably in a living room, with framed pictures on the walls and a bizarrely parked car in the center of the room.","A person dressed in a kangaroo costume is walking through a metal detector at an airport security checkpoint, while a security officer is peeking out from a side door, and two businessmen are standing in line, creating a humorous scene.","{""selected caption number"":""3: A person dressed in a kangaroo costume is walking through a metal detector at an airport security checkpoint, while a security officer is peeking out from a side door, and two businessmen are standing in line, creating a humorous scene.""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_34.jpeg?raw=true,"The image is a black-and-white cartoon showing a woman sitting up in bed, looking somewhat unimpressed or surprised, while a man stands in the doorway with his coat open, exposing his underwear, in an exaggerated display.","The image depicts a humorous illustration of two cyclists on an absurdly elongated tandem bicycle, with the first cyclist pedaling and the second, far behind, appearing relaxed.",I guess this rules out a church wedding.,I guess this rules out a church wedding.,"The image is a black-and-white cartoon showing a woman sitting up in bed, looking somewhat unimpressed or surprised, while a man stands in the doorway with his coat open, exposing his underwear, in an exaggerated display.","The image depicts a humorous illustration of two cyclists on an absurdly elongated tandem bicycle, with the first cyclist pedaling and the second, far behind, appearing relaxed.","{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_49.jpeg?raw=true,"A cartoon depicts a man at a bar with a phone to his ear, seemingly indifferent to the clone-like businessmen reflected multiple times in the mirror behind him.","The image is a black-and-white cartoon showing a person with a blank circular face sitting across the desk from a psychiatrist, who is taking notes.",Stop me if you've heard this one.,"A cartoon depicts a man at a bar with a phone to his ear, seemingly indifferent to the clone-like businessmen reflected multiple times in the mirror behind him.",Stop me if you've heard this one.,"The image is a black-and-white cartoon showing a person with a blank circular face sitting across the desk from a psychiatrist, who is taking notes.","{""selected caption number"":""1""}"
