url,real_caption,random_caption,description,caption1,caption2,caption3,response_text
https://i.imgflip.com/4/6a9d61.jpg,"MAYBE I'M OUT OF TOUCH WITH TODAY'S MUSIC AND COULTURE; NO, THE MUSIC IS JUST SHIT","image tagged in let me in,mario,super mario galaxy,memes","The image captures a moment of confrontation between two individuals on a stage, where one is swinging their arm towards the other's face.","MAYBE I'M OUT OF TOUCH WITH TODAY'S MUSIC AND COULTURE; NO, THE MUSIC IS JUST SHIT","The image captures a moment of confrontation between two individuals on a stage, where one is swinging their arm towards the other's face.","image tagged in let me in,mario,super mario galaxy,memes","{""selected caption number"":""1""}"
https://i.imgflip.com/4/1c81c1.jpg,getting a girlfreind; beating depression; future you,WHEN YOU REALIZE UPVOTING GIVES YOU POINTS; YOU GET AN UPVOTE! YOU GET AN UPVOTE! AND YOU GET AN UPVOTE! EVERYONE GETS AN UPVOTE!! :DD,"The image is a meme format featuring a person looking puzzled with mathematical formulas and geometric shapes superimposed, suggesting deep confusion or contemplation.","The image is a meme format featuring a person looking puzzled with mathematical formulas and geometric shapes superimposed, suggesting deep confusion or contemplation.",getting a girlfreind; beating depression; future you,WHEN YOU REALIZE UPVOTING GIVES YOU POINTS; YOU GET AN UPVOTE! YOU GET AN UPVOTE! AND YOU GET AN UPVOTE! EVERYONE GETS AN UPVOTE!! :DD,"{""selected caption number"":""1""}"
https://i.imgflip.com/4/1866qe.jpg,A MUSIC VIDEO ON MTV NOW THAT'S SOMETHING I HAVEN'T SEEN IN A VERY LONG TIME,POPCORN KERNEL; MY TOOTH; MY OTHER TOOTH,"The image shows a close-up of an animated character's clenched fist, likely from a cartoon, with a blurry background suggesting an indoor setting.","The image shows a close-up of an animated character's clenched fist, likely from a cartoon, with a blurry background suggesting an indoor setting.",POPCORN KERNEL; MY TOOTH; MY OTHER TOOTH,A MUSIC VIDEO ON MTV NOW THAT'S SOMETHING I HAVEN'T SEEN IN A VERY LONG TIME,"{""selected caption number"":""2""}"
https://i.imgflip.com/4/7n5z.jpg,WHEN YOU'RE TRYING TO GET OUT OF SOMEONE'S WAY WHILE THEY ARE ALSO TRYING TO GET OUT OF YOUR WAY; AND YOU GET STUCK IN THE &quot;EXCUSE ME&quot; DANCE.,THOSE 3 VITAMIN GUMMY’S I ATE 5 YEARS AGO; COVID ENTERING MY SYSTEM,"The image is a cartoon of a man in a suit behind a news desk with a graphic in the corner that reads ""WHAT REALLY GRINDS MY GEARS.""",THOSE 3 VITAMIN GUMMY’S I ATE 5 YEARS AGO; COVID ENTERING MY SYSTEM,"The image is a cartoon of a man in a suit behind a news desk with a graphic in the corner that reads ""WHAT REALLY GRINDS MY GEARS.""",WHEN YOU'RE TRYING TO GET OUT OF SOMEONE'S WAY WHILE THEY ARE ALSO TRYING TO GET OUT OF YOUR WAY; AND YOU GET STUCK IN THE &quot;EXCUSE ME&quot; DANCE.,"{""selected caption number"":""2""}"
https://i.imgflip.com/4/39binw.jpg,SAY THE LINE BERNIE; I AM ONCE AGAIN ASKING FOR YOUR FINANCIAL SUPPORT; [CHEERING NOISES],1988: DON'T GET INTO CARS WITH STRANGERS; 2000: DON'T MEET PEOPLE FROM THE INTERNET; 2018: UBER,"The picture is a side-by-side comparison of two images: on the left, a woman is pointing and shouting, and on the right, a cat sits at a table with a plate of vegetables in front of it, mimicking a human-like expression of disapproval or confusion.",1988: DON'T GET INTO CARS WITH STRANGERS; 2000: DON'T MEET PEOPLE FROM THE INTERNET; 2018: UBER,"The picture is a side-by-side comparison of two images: on the left, a woman is pointing and shouting, and on the right, a cat sits at a table with a plate of vegetables in front of it, mimicking a human-like expression of disapproval or confusion.",SAY THE LINE BERNIE; I AM ONCE AGAIN ASKING FOR YOUR FINANCIAL SUPPORT; [CHEERING NOISES],"{""selected caption number"":""2""}"
https://i.imgflip.com/4/2d3al6.jpg,is the funny; me making a meme; everyone,ME WHEN I FIRST ENTERED IMGFLIP; LOOK AT ALL THESE MEMES,"Two men appear to be having a conversation near a car, with one man gesturing towards the car as if explaining something about it.",ME WHEN I FIRST ENTERED IMGFLIP; LOOK AT ALL THESE MEMES,"Two men appear to be having a conversation near a car, with one man gesturing towards the car as if explaining something about it.",is the funny; me making a meme; everyone,"{""selected caption number"":""1""}"
https://i.imgflip.com/4/33e92f.jpg,LEAVING A COMMENT BUT NOT UPVOTING; THAT'S A PADDLIN',"image tagged in i fear no man,unfunny,hentai,memes","Three dragon heads are illustrated in a single image, with the two on the sides looking fierce and the one in the middle sticking out its tongue in a goofy expression.","image tagged in i fear no man,unfunny,hentai,memes","Three dragon heads are illustrated in a single image, with the two on the sides looking fierce and the one in the middle sticking out its tongue in a goofy expression.",LEAVING A COMMENT BUT NOT UPVOTING; THAT'S A PADDLIN',"{""selected caption number"":""2""}"
https://i.imgflip.com/4/2oo7h0.jpg,*** TRAVIS BARKER***; Y’ALL GOT ANYMORE OF THEM NEW POP PUNK BANDS?,When you upvote your own meme:,A person is setting up a sequence of progressively smaller rectangular blocks in what appears to be a demonstration of a domino effect.,*** TRAVIS BARKER***; Y’ALL GOT ANYMORE OF THEM NEW POP PUNK BANDS?,When you upvote your own meme:,A person is setting up a sequence of progressively smaller rectangular blocks in what appears to be a demonstration of a domino effect.,"{""selected caption number"":""2""}"
https://i.imgflip.com/4/15hg.jpg,If you ate a whole cake without cutting it...you technically only had one piece.,THERE ARE DUMB PEOPLE ON IMGFLIP; UPVOTE IF YOUR NOT ONE OF THEM,"The image is a four-panel sequence showing two men, where the first appears to be talking and the second reacting with increasing distress.","The image is a four-panel sequence showing two men, where the first appears to be talking and the second reacting with increasing distress.",THERE ARE DUMB PEOPLE ON IMGFLIP; UPVOTE IF YOUR NOT ONE OF THEM,If you ate a whole cake without cutting it...you technically only had one piece.,"{""selected caption number"":""3""}"
https://i.imgflip.com/4/14wa6i.jpg,"PBS is made possible thanks to viewers like you!
Thank you! 5 year old me",YOUR ROBLOX GIRLFRIEND; A 30 YEAR OLD FAT MAN NAMED CHUCK,"The image is a still of SpongeBob SquarePants, depicted in an agitated state, from the animated television series.","PBS is made possible thanks to viewers like you!
Thank you! 5 year old me",YOUR ROBLOX GIRLFRIEND; A 30 YEAR OLD FAT MAN NAMED CHUCK,"The image is a still of SpongeBob SquarePants, depicted in an agitated state, from the animated television series.","{""selected caption number"":""2""}"
