url,real_caption,random_caption,description,caption1,caption2,caption3,response_text
https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000002.jpg?raw=true,아빠 저녁거리 데려왔어요; 순서대로 털 벗고 불판에 올라가거라,김일성 김정일 김정은,호랑이 캐릭터가 녹색 스웨터를 입고 바비큐를 하고 있는 동안 다른 호랑이 캐릭터들이 기대에 찬 눈빛으로 보고 있어요.,아빠 저녁거리 데려왔어요; 순서대로 털 벗고 불판에 올라가거라,김일성 김정일 김정은,호랑이 캐릭터가 녹색 스웨터를 입고 바비큐를 하고 있는 동안 다른 호랑이 캐릭터들이 기대에 찬 눈빛으로 보고 있어요.,"{""제목 번호"":""3""}"
https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000009.jpg?raw=true,학생여러분~ 우리는 벌써 모순에 대해 배웠어요,내가 있는데 왜 안죽지,안경을 쓴 남성이 EBS 로고가 보이는 배경에서 미소를 짓고 카메라를 바라보며 서 있습니다.,내가 있는데 왜 안죽지,안경을 쓴 남성이 EBS 로고가 보이는 배경에서 미소를 짓고 카메라를 바라보며 서 있습니다.,학생여러분~ 우리는 벌써 모순에 대해 배웠어요,"{'제목 번호':'3', '제목 텍스트':'학생여러분~ 우리는 벌써 모순에 대해 배웠어요'}"
https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000010.jpg?raw=true,"""두께!""; ""폭!""; ""높이!""",라이언의 이중생활,세 명의 파워레인저 캐릭터들이 건물 꼭대기에 서서 전투 포즈를 취하고 있습니다.,라이언의 이중생활,"""두께!""; ""폭!""; ""높이!""",세 명의 파워레인저 캐릭터들이 건물 꼭대기에 서서 전투 포즈를 취하고 있습니다.,"{""제목 번호"":""3""}"
https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000011.jpg?raw=true,코난이죠? 도라에몽 좀 처리해 주세요.,모기를 잡았을 뿐인데 애들이 따라한다,애니메이션 캐릭터가 통화 중에 기쁜 표정을 지으며 웃고 있습니다.,애니메이션 캐릭터가 통화 중에 기쁜 표정을 지으며 웃고 있습니다.,모기를 잡았을 뿐인데 애들이 따라한다,코난이죠? 도라에몽 좀 처리해 주세요.,"{'제목 번호':'2', '제목 텍스트':'모기를 잡았을 뿐인데 애들이 따라한다'}"
https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000012.jpg?raw=true,세금 못 내셨으니까 이건 제가 가져갈께요~,팬티입구가~!!!,방문객을 맞이하는 미소 짓는 여성과 그녀를 바라보는 앉아 있는 노인 여성이 있는 따뜻한 분위기의 가정집 내부 장면입니다.,방문객을 맞이하는 미소 짓는 여성과 그녀를 바라보는 앉아 있는 노인 여성이 있는 따뜻한 분위기의 가정집 내부 장면입니다.,팬티입구가~!!!,세금 못 내셨으니까 이건 제가 가져갈께요~,{'제목 번호':'2'}
https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000015.jpg?raw=true,오라이~오라이~ / OK 스도~옵! / 휘발류 만땅~ 카드받았습니다~,너도 그 이발소니?,세 여성이 고대 그리스 또는 로마의 복장을 하고 각기 다른 포즈로 서거나 앉아 춤을 추는 듯한 모습을 담은 스케치입니다.,오라이~오라이~ / OK 스도~옵! / 휘발류 만땅~ 카드받았습니다~,너도 그 이발소니?,세 여성이 고대 그리스 또는 로마의 복장을 하고 각기 다른 포즈로 서거나 앉아 춤을 추는 듯한 모습을 담은 스케치입니다.,"```json
{""제목 번호"":""1""}
```"
https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000017.jpg?raw=true,"""맘스터치""",아들이 똥폰의 뜻을 잘못이해한듯 하다,이 사진은 태양에 그을린 등에 두 손 자국이 선명하게 남아 있는 사람의 모습을 보여줍니다.,"""맘스터치""",아들이 똥폰의 뜻을 잘못이해한듯 하다,이 사진은 태양에 그을린 등에 두 손 자국이 선명하게 남아 있는 사람의 모습을 보여줍니다.,"{""제목 번호"":""1""}"
https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000019.jpg?raw=true,야 저기 떠내려가는거 홍준표아니냐????,세금 못 내셨으니까 이건 제가 가져갈께요~,"넥타이를 매지 않은 중년의 남성이 다리 위 난간에 손을 올리고 물을 내려다보고 있으며, 그의 뒤로는 여러 명의 사진기자들이 카메라로 그 장면을 촬영하고 있습니다.",야 저기 떠내려가는거 홍준표아니냐????,"넥타이를 매지 않은 중년의 남성이 다리 위 난간에 손을 올리고 물을 내려다보고 있으며, 그의 뒤로는 여러 명의 사진기자들이 카메라로 그 장면을 촬영하고 있습니다.",세금 못 내셨으니까 이건 제가 가져갈께요~,"{
  ""제목 번호"": ""1"",
  ""제목 텍스트"": ""야 저기 떠내려가는거 홍준표아니냐????""
}"
https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000020.jpg?raw=true,가루약을 잘 못먹는 타입,아침 9시 만원버스를 타려다 결국 나부터 승차거부당했는데 그때 유리창너머로 보이는 나 바로 앞에 줄섰다가 버스 탄 녀석,이는 고질라 조형물이 입에서 연기를 뿜으며 포효하는 것처럼 보이는 장면입니다.,가루약을 잘 못먹는 타입,아침 9시 만원버스를 타려다 결국 나부터 승차거부당했는데 그때 유리창너머로 보이는 나 바로 앞에 줄섰다가 버스 탄 녀석,이는 고질라 조형물이 입에서 연기를 뿜으며 포효하는 것처럼 보이는 장면입니다.,"```json
{""제목 번호"":""1""}
```"
https://github.com/devJwon/humor-image-captioning/blob/c4f76c427eab74c86a8be40bdb0aa80ea02d351b/images/crop/crop_00000022.jpg?raw=true,자기야..나 죽어가 제발 비트박스좀 그만해,다음 주 <그곳만은 맞지 않길 바랬다>를 보내드립니다.,병상에 누워 있는 여성과 슬퍼 보이는 남성이 손을 잡고 있는 병원의 한 장면입니다.,다음 주 <그곳만은 맞지 않길 바랬다>를 보내드립니다.,자기야..나 죽어가 제발 비트박스좀 그만해,병상에 누워 있는 여성과 슬퍼 보이는 남성이 손을 잡고 있는 병원의 한 장면입니다.,"{'제목 번호':'2', '제목 텍스트':'자기야..나 죽어가 제발 비트박스좀 그만해'}"
