url,real_caption,random_caption,description,caption1,caption2,caption3,response_text
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_3.jpeg?raw=true,Would it kill you to use a few of your roaming minutes?,It was in international waters.,"The image is a humorous cartoon showing a disheveled cat on the desk of an ""Emergency Hotline"" call center, with operators appearing surprised or disinterested.",It was in international waters.,Would it kill you to use a few of your roaming minutes?,"The image is a humorous cartoon showing a disheveled cat on the desk of an ""Emergency Hotline"" call center, with operators appearing surprised or disinterested.","{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_7.jpeg?raw=true,It's just the wind.,We really need to revisit our immigration policy.,"A person is sitting up in bed looking at a pillow with an imprint of a head on it, while a surreal large image of the moon or Earth appears outside the window.","A person is sitting up in bed looking at a pillow with an imprint of a head on it, while a surreal large image of the moon or Earth appears outside the window.",It's just the wind.,We really need to revisit our immigration policy.,"{""selected caption number"":""1""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_11.jpeg?raw=true,"Frankly, your brochure is a bit misleading.","Now, at the actual wedding tomorrow, let's keep Heather off the vodka.","The picture is a black-and-white cartoon showing a group of people in what appears to be a medieval setting, with two individuals holding unusually large pencils while one person sharpens the tip of their pencil on a wall, indicating a humorous take on sword sharpening.","The picture is a black-and-white cartoon showing a group of people in what appears to be a medieval setting, with two individuals holding unusually large pencils while one person sharpens the tip of their pencil on a wall, indicating a humorous take on sword sharpening.","Now, at the actual wedding tomorrow, let's keep Heather off the vodka.","Frankly, your brochure is a bit misleading.","{""selected caption number"":""1""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_13.jpeg?raw=true,I think we need a new sex therapist.,Can't I just laugh till it hurts?,"The image is a sketch of a woman and a man with a tennis racket head sitting on a bed, engaged in a conversation, with a sense of whimsy due to the man's unusual head.",I think we need a new sex therapist.,"The image is a sketch of a woman and a man with a tennis racket head sitting on a bed, engaged in a conversation, with a sense of whimsy due to the man's unusual head.",Can't I just laugh till it hurts?,"{""selected caption number"":""1""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_20.jpeg?raw=true,Larry can't tell you about his current project—it's top secret.,It's not just Henderson. Corporate laid off the entire bunny division.,"The image is a black-and-white cartoon showing a social gathering where a relatively small man is standing in the foreground looking up to much taller men and women, possibly poking fun at his height difference compared to the others.","The image is a black-and-white cartoon showing a social gathering where a relatively small man is standing in the foreground looking up to much taller men and women, possibly poking fun at his height difference compared to the others.",It's not just Henderson. Corporate laid off the entire bunny division.,Larry can't tell you about his current project—it's top secret.,"{""selected caption number"":""3""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_25.jpeg?raw=true,"We don't have much of a sex life, but he's good at finding keys in the swimming pool.",I guess this rules out a church wedding.,"A person in an astronaut suit stands awkwardly in an elevator alongside three business-dressed individuals, creating a humorous contrast between everyday life and space exploration.","A person in an astronaut suit stands awkwardly in an elevator alongside three business-dressed individuals, creating a humorous contrast between everyday life and space exploration.","We don't have much of a sex life, but he's good at finding keys in the swimming pool.",I guess this rules out a church wedding.,"{""selected caption number"":""1""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_27.jpeg?raw=true,"Shut up, Bob, everyone knows your parrot's a clip-on.",You know what? Just bring me back the one with the fly in it.,"The image is a simple black-and-white sketch of four individuals in a business meeting, with one standing holding papers and three others seated and engaged in conversation.","The image is a simple black-and-white sketch of four individuals in a business meeting, with one standing holding papers and three others seated and engaged in conversation.","Shut up, Bob, everyone knows your parrot's a clip-on.",You know what? Just bring me back the one with the fly in it.,"{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_32.jpeg?raw=true,It's not just Henderson. Corporate laid off the entire bunny division.,That won't fly in here.,"A person dressed in a kangaroo costume is walking through a metal detector at an airport security checkpoint, while a security officer is peeking out from a side door, and two businessmen are standing in line, creating a humorous scene.",That won't fly in here.,It's not just Henderson. Corporate laid off the entire bunny division.,"A person dressed in a kangaroo costume is walking through a metal detector at an airport security checkpoint, while a security officer is peeking out from a side door, and two businessmen are standing in line, creating a humorous scene.","{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_34.jpeg?raw=true,I guess this rules out a church wedding.,Relax. The DVR is set. You can catch the game tomorrow.,"The image is a black-and-white cartoon showing a woman sitting up in bed, looking somewhat unimpressed or surprised, while a man stands in the doorway with his coat open, exposing his underwear, in an exaggerated display.","The image is a black-and-white cartoon showing a woman sitting up in bed, looking somewhat unimpressed or surprised, while a man stands in the doorway with his coat open, exposing his underwear, in an exaggerated display.",I guess this rules out a church wedding.,Relax. The DVR is set. You can catch the game tomorrow.,"{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_49.jpeg?raw=true,Stop me if you've heard this one.,It's just the wind.,"A cartoon depicts a man at a bar with a phone to his ear, seemingly indifferent to the clone-like businessmen reflected multiple times in the mirror behind him.",It's just the wind.,"A cartoon depicts a man at a bar with a phone to his ear, seemingly indifferent to the clone-like businessmen reflected multiple times in the mirror behind him.",Stop me if you've heard this one.,"{""selected caption number"":""3""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_53.jpeg?raw=true,Would your mother find chilled larvae in a light honey glaze too waspy?,"Sir, you should probably assume your human form for the shareholders meeting.","The image is a humorous cartoon showing two people in bed, one reading a book and the other hidden behind a newspaper with only antenna-like extensions visible, suggesting a playful pun on watching ""the bugs"" or being absorbed in reading about bugs or technology.","The image is a humorous cartoon showing two people in bed, one reading a book and the other hidden behind a newspaper with only antenna-like extensions visible, suggesting a playful pun on watching ""the bugs"" or being absorbed in reading about bugs or technology.","Sir, you should probably assume your human form for the shareholders meeting.",Would your mother find chilled larvae in a light honey glaze too waspy?,"{""selected caption number"":""3""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_57.jpeg?raw=true,"It's painful, but I couldn't stand another chorus of ‘Take Me to the River.’",I couldn't find a real naked woman to ride with me in the H.O.V. lane.,"The image is a black-and-white cartoon showing two men in a living room, one standing by a fireplace over which a large fish is mounted, with a clock and two small vases on the mantelpiece, as they appear to be engaged in a conversation.","The image is a black-and-white cartoon showing two men in a living room, one standing by a fireplace over which a large fish is mounted, with a clock and two small vases on the mantelpiece, as they appear to be engaged in a conversation.","It's painful, but I couldn't stand another chorus of ‘Take Me to the River.’",I couldn't find a real naked woman to ride with me in the H.O.V. lane.,"{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_61.jpeg?raw=true,"Really God, you worry too much.",Do you want to go for L-U-N-C-H and maybe a W-A-L-K?,"The cartoon depicts a person sitting on what appears to be an oversized hand in the place of a chair, looking out of an open door with a surprised expression as the fingers of the hand extend onto the floor like a carpet.","The cartoon depicts a person sitting on what appears to be an oversized hand in the place of a chair, looking out of an open door with a surprised expression as the fingers of the hand extend onto the floor like a carpet.","Really God, you worry too much.",Do you want to go for L-U-N-C-H and maybe a W-A-L-K?,"{""selected caption number"":""3""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_65.jpeg?raw=true,"They're programmed to be idiots, Higgins. What's your excuse?",It's a park. He's on a leash. What's it to you?,"The picture shows a monochrome cartoon of a meeting with both humans and robots seated around a conference table, suggesting a humorous blend of technology and traditional business.","The picture shows a monochrome cartoon of a meeting with both humans and robots seated around a conference table, suggesting a humorous blend of technology and traditional business.",It's a park. He's on a leash. What's it to you?,"They're programmed to be idiots, Higgins. What's your excuse?","{""selected caption number"":""3""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_78.jpeg?raw=true,Ever think about kids?,"Siri, how far can a hunchback jump?","The image is a cartoon showing two adults sleeping in a crib-like bed with bars, humorously implying that parenthood has put them in the place of a child.","Siri, how far can a hunchback jump?","The image is a cartoon showing two adults sleeping in a crib-like bed with bars, humorously implying that parenthood has put them in the place of a child.",Ever think about kids?,"{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_92.jpeg?raw=true,"Come on, George. You know he's only going to spend it on more oxygen.",You're gonna have to roll me outta here.,"Two people stand on a sidewalk conversing, unaware of the large, anthropomorphic dolphin figure standing oddly close behind them.","Two people stand on a sidewalk conversing, unaware of the large, anthropomorphic dolphin figure standing oddly close behind them.","Come on, George. You know he's only going to spend it on more oxygen.",You're gonna have to roll me outta here.,"{""selected caption number"":""2""}"
https://github.com/devJwon/humor-image-captioning/blob/main/images/ny_image/image_106.jpeg?raw=true,We'll have to run it by our infinite number of editors.,I think we made a wrong turn at puberty.,"The black and white cartoon depicts a bespectacled man handing papers to a disgruntled-looking creature seated at a cluttered desk, situated in an office setting with two windows.","The black and white cartoon depicts a bespectacled man handing papers to a disgruntled-looking creature seated at a cluttered desk, situated in an office setting with two windows.",We'll have to run it by our infinite number of editors.,I think we made a wrong turn at puberty.,"{""selected caption number"":""2""}"
